Physical Record ID,BL record ID,ARK
001878547,014814617,ark:/81055/vdc_00000002DC2A
003993027,014880491,ark:/81055/vdc_000000015B28
003992775,015211156,ark:/81055/vdc_000000026ED4
003992836,014841656,ark:/81055/vdc_000000006462
003992622,015178553,ark:/81055/vdc_0000000264CC
003992183,014891843,ark:/81055/vdc_00000001A7DE
003992285,014885800,ark:/81055/vdc_000000018054
003992047,014885797,ark:/81055/vdc_00000001805A
003992166,014897240,ark:/81055/vdc_00000001B6DE
003992165,014885798,ark:/81055/vdc_000000017A72
003992467,014897241,ark:/81055/vdc_00000001CF0E
003991978,015264410,ark:/81055/vdc_000000027C2A
003992170,014885799,ark:/81055/vdc_00000001822E
003992074,014891842,ark:/81055/vdc_000000018F3C
003992366,014885801,ark:/81055/vdc_000000018096
003992413,015246310,ark:/81055/vdc_00000002790C
003992457,015246311,ark:/81055/vdc_000000027906
003991697,014873181,ark:/81055/vdc_000000011340
003991699,014873182,ark:/81055/vdc_000000012390
003991586,014880490,ark:/81055/vdc_00000001636E
003943636,014824785,ark:/81055/vdc_000000057B58
003861653,014831749,ark:/81055/vdc_00000003C77A
003768018,014873043,ark:/81055/vdc_000000011400
003991234,014832642,ark:/81055/vdc_00000003487E
003991018,014912756,ark:/81055/vdc_00000001F3BC
003990906,014912755,ark:/81055/vdc_00000001F3F8
003700204,014880402,ark:/81055/vdc_00000001520A
003990855,014832641,ark:/81055/vdc_000000056D00
003990854,015178552,ark:/81055/vdc_0000000266E2
003990845,014873180,ark:/81055/vdc_0000000128D0
003990832,014824923,ark:/81055/vdc_0000000520CE
003990755,014940071,ark:/81055/vdc_000000022368
003990752,014832640,ark:/81055/vdc_00000002FE50
003700207,015111267,ark:/81055/vdc_00000002409C
003990689,014832638,ark:/81055/vdc_00000002C4F0
003698870,014831221,ark:/81055/vdc_000000040638
003698929,014831222,ark:/81055/vdc_0000000417AE
003659145,014830996,ark:/81055/vdc_0000000403BC
003990028,014832637,ark:/81055/vdc_00000004D4FC
003990027,014832636,ark:/81055/vdc_000000038D48
003562805,014830505,ark:/81055/vdc_00000005547C
003425182,014880328,ark:/81055/vdc_000000015D7A
003318453,014829168,ark:/81055/vdc_0000000551DC
003989704,014824919,ark:/81055/vdc_00000004385A
003989705,014832632,ark:/81055/vdc_0000000556FE
